ENP1: rounded = 5, raw = 5.000000, rounded_increase = 0.0, calc = ENP1 = 5 (raw 5.000000)
ENP2: rounded = 55, raw = 54.950000, rounded_increase = 50, calc = [5.000000 + (5000.000000 - 5.000000) x 1.00%]
ENP3: rounded = 104, raw = 104.400500, rounded_increase = 49, calc = [54.950000 + (5000.000000 - 54.950000) x 1.00%]
ENP4: rounded = 153, raw = 153.356495, rounded_increase = 49, calc = [104.400500 + (5000.000000 - 104.400500) x 1.00%]
ENP5: rounded = 202, raw = 201.822930, rounded_increase = 48, calc = [153.356495 + (5000.000000 - 153.356495) x 1.00%]
ENP6: rounded = 250, raw = 249.804701, rounded_increase = 48, calc = [201.822930 + (5000.000000 - 201.822930) x 1.00%]
ENP7: rounded = 297, raw = 297.306654, rounded_increase = 48, calc = [249.804701 + (5000.000000 - 249.804701) x 1.00%]
ENP8: rounded = 344, raw = 344.333587, rounded_increase = 47, calc = [297.306654 + (5000.000000 - 297.306654) x 1.00%]
ENP9: rounded = 391, raw = 390.890251, rounded_increase = 47, calc = [344.333587 + (5000.000000 - 344.333587) x 1.00%]
ENP10: rounded = 437, raw = 436.981349, rounded_increase = 46, calc = [390.890251 + (5000.000000 - 390.890251) x 1.00%]
ENP11: rounded = 483, raw = 482.611535, rounded_increase = 46, calc = [436.981349 + (5000.000000 - 436.981349) x 1.00%]
ENP12: rounded = 528, raw = 527.785420, rounded_increase = 45, calc = [482.611535 + (5000.000000 - 482.611535) x 1.00%]
ENP13: rounded = 573, raw = 572.507566, rounded_increase = 45, calc = [527.785420 + (5000.000000 - 527.785420) x 1.00%]
ENP14: rounded = 617, raw = 616.782490, rounded_increase = 44, calc = [572.507566 + (5000.000000 - 572.507566) x 1.00%]
ENP15: rounded = 661, raw = 660.614665, rounded_increase = 44, calc = [616.782490 + (5000.000000 - 616.782490) x 1.00%]
ENP16: rounded = 704, raw = 704.008519, rounded_increase = 43, calc = [660.614665 + (5000.000000 - 660.614665) x 1.00%]
ENP17: rounded = 747, raw = 746.968433, rounded_increase = 43, calc = [704.008519 + (5000.000000 - 704.008519) x 1.00%]
ENP18: rounded = 789, raw = 789.498749, rounded_increase = 43, calc = [746.968433 + (5000.000000 - 746.968433) x 1.00%]
ENP19: rounded = 832, raw = 831.603762, rounded_increase = 42, calc = [789.498749 + (5000.000000 - 789.498749) x 1.00%]
ENP20: rounded = 873, raw = 873.287724, rounded_increase = 42, calc = [831.603762 + (5000.000000 - 831.603762) x 1.00%]
ENP21: rounded = 915, raw = 914.554847, rounded_increase = 41, calc = [873.287724 + (5000.000000 - 873.287724) x 1.00%]
ENP22: rounded = 955, raw = 955.409298, rounded_increase = 41, calc = [914.554847 + (5000.000000 - 914.554847) x 1.00%]
ENP23: rounded = 996, raw = 995.855205, rounded_increase = 40, calc = [955.409298 + (5000.000000 - 955.409298) x 1.00%]
ENP24: rounded = 1036, raw = 1035.896653, rounded_increase = 40, calc = [995.855205 + (5000.000000 - 995.855205) x 1.00%]
ENP25: rounded = 1076, raw = 1075.537687, rounded_increase = 40, calc = [1035.896653 + (5000.000000 - 1035.896653) x 1.00%]
ENP26: rounded = 1115, raw = 1114.782310, rounded_increase = 39, calc = [1075.537687 + (5000.000000 - 1075.537687) x 1.00%]
ENP27: rounded = 1154, raw = 1153.634487, rounded_increase = 39, calc = [1114.782310 + (5000.000000 - 1114.782310) x 1.00%]
ENP28: rounded = 1192, raw = 1192.098142, rounded_increase = 38, calc = [1153.634487 + (5000.000000 - 1153.634487) x 1.00%]
ENP29: rounded = 1230, raw = 1230.177160, rounded_increase = 38, calc = [1192.098142 + (5000.000000 - 1192.098142) x 1.00%]
ENP30: rounded = 1268, raw = 1267.875389, rounded_increase = 38, calc = [1230.177160 + (5000.000000 - 1230.177160) x 1.00%]
ENP31: rounded = 1305, raw = 1305.196635, rounded_increase = 37, calc = [1267.875389 + (5000.000000 - 1267.875389) x 1.00%]
ENP32: rounded = 1342, raw = 1342.144669, rounded_increase = 37, calc = [1305.196635 + (5000.000000 - 1305.196635) x 1.00%]
ENP33: rounded = 1379, raw = 1378.723222, rounded_increase = 37, calc = [1342.144669 + (5000.000000 - 1342.144669) x 1.00%]
ENP34: rounded = 1415, raw = 1414.935990, rounded_increase = 36, calc = [1378.723222 + (5000.000000 - 1378.723222) x 1.00%]
ENP35: rounded = 1451, raw = 1450.786630, rounded_increase = 36, calc = [1414.935990 + (5000.000000 - 1414.935990) x 1.00%]
ENP36: rounded = 1486, raw = 1486.278763, rounded_increase = 35, calc = [1450.786630 + (5000.000000 - 1450.786630) x 1.00%]
ENP37: rounded = 1521, raw = 1521.415976, rounded_increase = 35, calc = [1486.278763 + (5000.000000 - 1486.278763) x 1.00%]
ENP38: rounded = 1556, raw = 1556.201816, rounded_increase = 35, calc = [1521.415976 + (5000.000000 - 1521.415976) x 1.00%]
ENP39: rounded = 1591, raw = 1590.639798, rounded_increase = 34, calc = [1556.201816 + (5000.000000 - 1556.201816) x 1.00%]
ENP40: rounded = 1625, raw = 1624.733400, rounded_increase = 34, calc = [1590.639798 + (5000.000000 - 1590.639798) x 1.00%]
ENP41: rounded = 1658, raw = 1658.486066, rounded_increase = 34, calc = [1624.733400 + (5000.000000 - 1624.733400) x 1.00%]
ENP42: rounded = 1692, raw = 1691.901205, rounded_increase = 33, calc = [1658.486066 + (5000.000000 - 1658.486066) x 1.00%]
ENP43: rounded = 1725, raw = 1724.982193, rounded_increase = 33, calc = [1691.901205 + (5000.000000 - 1691.901205) x 1.00%]
ENP44: rounded = 1758, raw = 1757.732371, rounded_increase = 33, calc = [1724.982193 + (5000.000000 - 1724.982193) x 1.00%]
ENP45: rounded = 1790, raw = 1790.155048, rounded_increase = 32, calc = [1757.732371 + (5000.000000 - 1757.732371) x 1.00%]
ENP46: rounded = 1822, raw = 1822.253497, rounded_increase = 32, calc = [1790.155048 + (5000.000000 - 1790.155048) x 1.00%]
